hsX	18525187	18671668	CDKL5
hsX	47077996	47088207	CDK16
hs1	1634330	1654262	CDK11A
hs1	204393759	204438926	PIK3C2B
hs1	205492300	205500548	CDK18
hs1	223968514	224033428	TP53BP2
hs1	40363042	40367580	MYCL1
hs1	51436039	51439941	CDKN2C
hs1	9770512	9787103	PIK3CD
hs2	16080707	16086213	MYCN
hs2	16080707	16082630	MYCNOS
hs2	202671386	202755631	CDK15
hs2	24300447	24307195	TP53I3
hs2	39403125	39456672	CDKL4
hs3	138374229	138478185	PIK3CB
hs3	178916583	178952152	PIK3CA
hs4	76507014	76551171	CDKL2
hs5	133541611	133702214	CDKL3
hs5	68530774	68573007	CDK7
hs6	110935736	111136338	CDK19
hs6	36645602	36653612	CDKN1A
hs7	106508005	106545832	PIK3CG
hs7	150751077	150754976	CDK5
hs7	39990226	40134575	CDK13
hs7	55086951	55273309	EGFR
hs7	90225925	90747497	CDK14
hs7	92244452	92462640	CDK6
hs8	128748764	128753201	MYC
hs9	130548036	130551821	CDK9
hs9	21968173	21994475	CDKN2A
hs9	22005935	22009013	CDKN2B
hs9	90581957	90589384	CDK20
hs10	62539881	62553744	CDK1
hs11	108098326	108236233	ATM
hs11	128805492	128807710	TP53AIP1
hs11	17111283	17191277	PIK3C2A
hs11	2905082	2906727	CDKN1C
hs12	12870772	12874141	CDKN1B
hs12	18435014	18800962	PIK3C2G
hs12	56360789	56365417	CDK2
hs12	58142292	58145500	CDK4
hs12	96674563	96728615	CDK17
hs13	26828777	26978217	CDK8
hs13	32890569	32972907	BRCA2
hs13	77619491	77900909	MYCBP2
hs14	50796784	50883221	CDKL1
hs15	43699579	43785297	TP53BP1
hs16	89753081	89762219	CDK10
hs17	37618323	37687587	CDK12
hs17	37856466	37884295	ERBB2
hs17	41197693	41276133	BRCA1
hs17	7572906	7579935	TP53
hs18	39535229	39661153	PIK3C3
hs19	10677732	10679378	CDKN2D
hs20	45315390	45318091	TP53RK
hs22	29083868	29130714	CHEK2
